NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
CLEC5A	CLEC5A	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CLEC7A	CLEC7A	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CLIC1	CLIC1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CLIC2	CLIC2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CLK1	CLK1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CMAHP	CMAHP	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CMKLR1	CMKLR1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CMPK2	CMPK2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CMTM3	CMTM3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CNN2	CNN2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CNPY3	CNPY3	#cfcfcf	100	Diamond				KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	#F6FF7F	NO	20
CNTRL	CNTRL	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COL1A1	COL1A1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COL1A2	COL1A2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COL3A1	COL3A1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COL5A2	COL5A2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COL6A1	COL6A1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COL6A2	COL6A2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
COL6A3	COL6A3	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
COL8A2	COL8A2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COLGALT1	COLGALT1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CORO1A	CORO1A	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
CORO1C	CORO1C	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
COTL1	COTL1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	#F6FF7F	NO	20
CP	CP	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CPA3	CPA3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CPM	CPM	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CPPED1	CPPED1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CPQ	CPQ	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CPVL	CPVL	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CR1	CR1	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Not a KD	Not a KD	Not a KD	Not a KD	12
CR2	CR2	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Not a KD	Not a KD	Not a KD	Not a KD	12
CREB5	CREB5	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CREBL2	CREBL2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CREBRF	CREBRF	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CREM	CREM	#cfcfcf	100	Diamond				KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CRIP1	CRIP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CRISPLD2	CRISPLD2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CRLF3	CRLF3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CRTAM	CRTAM	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CSF1	CSF1	#9FFF96	100	Ellipse	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Not a KD	Not a KD	Not a KD	Not a KD	12
CSF1R	CSF1R	#9FFF96	100	Diamond	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CSF2RA	CSF2RA	#9FFF96	100	Diamond	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CSF2RB	CSF2RB	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
CSF3R	CSF3R	#9FFF96	100	Diamond	1:9FFF96	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=9FFF96	KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CSGALNACT1	CSGALNACT1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CSGALNACT2	CSGALNACT2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CSK	CSK	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CSRP1	CSRP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CST3	CST3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CST7	CST7	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CSTA	CSTA	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CSTB	CSTB	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CTGF	CTGF	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CTLA4	CTLA4	#ABFFDC	100	Ellipse	1:ABFFDC	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ABFFDC	KEGG_CELL_ADHESION_MOLECULES_CAMS	Not a KD	Not a KD	Not a KD	Not a KD	12
CTSA	CTSA	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CTSB	CTSB	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
CTSC	CTSC	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
CTSD	CTSD	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CTSG	CTSG	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CTSH	CTSH	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
CTSK	CTSK	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CTSL	CTSL	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CTSO	CTSO	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CTSS	CTSS	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CTSW	CTSW	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CX3CR1	CX3CR1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCL1	CXCL1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_HEMATOPOIETIC_CELL_LINEAGE	#9FFF96	NO	20
CXCL10	CXCL10	#cfcfcf	200	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	YES	30
CXCL11	CXCL11	#cfcfcf	200	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	YES	30
CXCL12	CXCL12	#C2FF7F	100	Ellipse	1:C2FF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=C2FF7F	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Not a KD	Not a KD	Not a KD	Not a KD	12
CXCL13	CXCL13	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCL16	CXCL16	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCL2	CXCL2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CXCL3	CXCL3	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
CXCL5	CXCL5	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCL8	CXCL8	#cfcfcf	100	Diamond				KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_HEMATOPOIETIC_CELL_LINEAGE	#9FFF96	NO	20
CXCL9	CXCL9	#cfcfcf	200	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	YES	30
CXCR2	CXCR2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCR3	CXCR3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCR4	CXCR4	#C2FF7F	100	Diamond	1:C2FF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=C2FF7F	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
CXCR5	CXCR5	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXCR6	CXCR6	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CXorf21	CXorf21	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYB5R4	CYB5R4	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYBA	CYBA	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CYBB	CYBB	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
CYFIP1	CYFIP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYFIP2	CYFIP2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYLD	CYLD	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CYP1B1	CYP1B1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	#C2FF7F	NO	20
CYP27A1	CYP27A1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYR61	CYR61	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYSLTR1	CYSLTR1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYTH1	CYTH1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
CYTH4	CYTH4	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
CYTIP	CYTIP	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_ASTHMA	#B2EAFF	NO	20
DAB2	DAB2	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_CELL_ADHESION_MOLECULES_CAMS	#ABFFDC	NO	20
DAPK1	DAPK1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
DAPP1	DAPP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
DCN	DCN	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
DDAH2	DDAH2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
DDIT3	DDIT3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
DDX39A	DDX39A	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
DDX58	DDX58	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
DDX60	DDX60	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
